train_task,test_task,acc
mixed,motor,0.99
mixed,mem,0.99
motor,mixed,0.825
motor,mem,0.745
mem,mixed,0.915
mem,motor,0.9949999999999999
mixed,motor,0.7749999999999998
mixed,mem,0.865
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.575
mem,motor,0.7
mixed,motor,0.96
mixed,mem,0.905
motor,mixed,0.5299999999999999
motor,mem,0.8249999999999998
mem,mixed,0.62
mem,motor,0.8500000000000002
mixed,motor,0.95
mixed,mem,1.0
motor,mixed,0.7150000000000001
motor,mem,0.8249999999999998
mem,mixed,0.9199999999999999
mem,motor,0.9199999999999999
mixed,motor,0.97
mixed,mem,1.0
motor,mixed,0.605
motor,mem,0.89
mem,mixed,0.9200000000000002
mem,motor,0.9850000000000001
mixed,motor,0.875
mixed,mem,0.95
motor,mixed,0.74
motor,mem,0.885
mem,mixed,0.7599999999999999
mem,motor,0.8800000000000001
mixed,motor,0.85
mixed,mem,0.9350000000000002
motor,mixed,0.53
motor,mem,0.5
mem,mixed,0.885
mem,motor,0.7849999999999999
mixed,motor,0.8750000000000002
mixed,mem,0.945
motor,mixed,0.685
motor,mem,0.7200000000000001
mem,mixed,0.9349999999999999
mem,motor,0.9200000000000002
