MSC06,train,test
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
0.9444444444444444,mixed,motor
0.9444444444444444,mixed,motor
0.9444444444444444,mixed,motor
0.9444444444444444,mixed,motor
0.9444444444444444,mixed,motor
0.9444444444444444,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
0.9444444444444444,mixed,motor
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.8,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.8888888888888888,mem,motor
0.9444444444444444,mem,motor
0.8888888888888888,mem,motor
0.7777777777777778,mem,motor
0.8888888888888888,mem,motor
0.8888888888888888,mem,motor
0.8888888888888888,mem,motor
0.9444444444444444,mem,motor
0.9444444444444444,mem,motor
0.9444444444444444,mem,motor
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.5,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.5,motor,mem
0.55,motor,mem
0.6,motor,mem
0.55,motor,mem
0.5,motor,mem
0.55,motor,mem
0.6,motor,mem
0.6,motor,mem
0.5,motor,mem
