train,test,sub,acc
mixed,mem,MSC01,0.8
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,mem,MSC01,0.95
mixed,motor,MSC01,0.95
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mixed,motor,MSC01,1.0
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.9
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.95
mem,mixed,MSC01,0.95
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
mem,motor,MSC01,1.0
motor,mixed,MSC01,0.8
motor,mixed,MSC01,0.8
motor,mixed,MSC01,0.8
motor,mixed,MSC01,0.8
motor,mixed,MSC01,0.85
motor,mixed,MSC01,0.85
motor,mixed,MSC01,0.8
motor,mixed,MSC01,0.8
motor,mixed,MSC01,0.85
motor,mixed,MSC01,0.8
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
motor,mem,MSC01,0.65
mixed,mem,MSC02,0.85
mixed,mem,MSC02,0.75
mixed,mem,MSC02,0.8
mixed,mem,MSC02,0.85
mixed,mem,MSC02,0.85
mixed,mem,MSC02,0.85
mixed,mem,MSC02,0.85
mixed,mem,MSC02,0.85
mixed,mem,MSC02,0.85
mixed,mem,MSC02,0.8
mixed,motor,MSC02,0.75
mixed,motor,MSC02,0.75
mixed,motor,MSC02,0.6
mixed,motor,MSC02,0.85
mixed,motor,MSC02,0.8
mixed,motor,MSC02,0.7
mixed,motor,MSC02,0.8
mixed,motor,MSC02,0.7
mixed,motor,MSC02,0.85
mixed,motor,MSC02,0.7
mem,mixed,MSC02,0.8
mem,mixed,MSC02,0.7
mem,mixed,MSC02,0.7
mem,mixed,MSC02,0.7
mem,mixed,MSC02,0.7
mem,mixed,MSC02,0.8
mem,mixed,MSC02,0.75
mem,mixed,MSC02,0.7
mem,mixed,MSC02,0.7
mem,mixed,MSC02,0.75
mem,motor,MSC02,0.6
mem,motor,MSC02,0.65
mem,motor,MSC02,0.6
mem,motor,MSC02,0.65
mem,motor,MSC02,0.65
mem,motor,MSC02,0.65
mem,motor,MSC02,0.65
mem,motor,MSC02,0.65
mem,motor,MSC02,0.6
mem,motor,MSC02,0.6
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
motor,mem,MSC02,0.5
mixed,mem,MSC03,0.875
mixed,mem,MSC03,0.8125
mixed,mem,MSC03,0.8125
mixed,mem,MSC03,0.875
mixed,mem,MSC03,0.9375
mixed,mem,MSC03,0.9375
mixed,mem,MSC03,0.9375
mixed,mem,MSC03,0.875
mixed,mem,MSC03,0.8125
mixed,mem,MSC03,0.9375
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mixed,motor,MSC03,1.0
mem,mixed,MSC03,0.65
mem,mixed,MSC03,0.6
