MSC07,train,test
0.9,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
1.0,mixed,mem
0.9,mixed,mem
0.8333333333333334,mixed,motor
0.8333333333333334,mixed,motor
0.7777777777777778,mixed,motor
0.8888888888888888,mixed,motor
0.8333333333333334,mixed,motor
0.8333333333333334,mixed,motor
0.7777777777777778,mixed,motor
0.8888888888888888,mixed,motor
0.8333333333333334,mixed,motor
0.8333333333333334,mixed,motor
0.95,mem,mixed
0.9,mem,mixed
0.95,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.8,mem,mixed
0.85,mem,mixed
0.8,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.7222222222222222,mem,motor
0.7222222222222222,mem,motor
0.7222222222222222,mem,motor
0.7222222222222222,mem,motor
0.7222222222222222,mem,motor
0.8333333333333334,mem,motor
0.7222222222222222,mem,motor
0.8333333333333334,mem,motor
0.8333333333333334,mem,motor
0.7777777777777778,mem,motor
0.55,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
