MSC05,train,test
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
0.95,mixed,motor
1.0,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
1.0,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
1.0,mixed,motor
0.85,mem,mixed
0.85,mem,mixed
0.85,mem,mixed
0.8,mem,mixed
0.85,mem,mixed
0.85,mem,mixed
0.85,mem,mixed
0.85,mem,mixed
0.85,mem,mixed
0.85,mem,mixed
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
0.6,motor,mixed
0.6,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.95,motor,mem
0.8,motor,mem
0.75,motor,mem
0.75,motor,mem
0.75,motor,mem
0.75,motor,mem
0.8,motor,mem
0.8,motor,mem
0.75,motor,mem
0.8,motor,mem
