train_task,test_task,acc
mixed,motor,0.5399999999999999
mixed,mem,0.72
motor,mixed,0.65
motor,mem,0.93
mem,mixed,0.71
mem,motor,0.615
mixed,motor,0.48500000000000004
mixed,mem,0.585
motor,mixed,0.6950000000000001
motor,mem,0.7350000000000001
mem,mixed,0.5499999999999999
mem,motor,0.5499999999999999
mixed,motor,0.6399999999999999
mixed,mem,0.76
motor,mixed,0.59
motor,mem,0.6250000000000001
mem,mixed,0.525
mem,motor,0.48500000000000004
mixed,motor,0.7449999999999999
mixed,mem,0.925
motor,mixed,0.9349999999999999
motor,mem,0.99
mem,mixed,0.8299999999999998
mem,motor,0.845
mixed,motor,0.725
mixed,mem,0.74
motor,mixed,0.745
motor,mem,0.8699999999999999
mem,mixed,0.755
mem,motor,0.93
mixed,motor,0.73
mixed,mem,0.6950000000000001
motor,mixed,0.67
motor,mem,0.7150000000000001
mem,mixed,0.86
mem,motor,0.73
mixed,motor,0.7799999999999999
mixed,mem,0.7699999999999999
motor,mixed,0.6900000000000002
motor,mem,0.67
mem,mixed,0.7300000000000001
mem,motor,0.73
mixed,motor,0.8950000000000001
mixed,mem,0.8750000000000002
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.575
mem,motor,0.575
mixed,motor,0.5700000000000001
mixed,mem,0.63
motor,mixed,0.7550000000000001
motor,mem,0.585
mem,mixed,0.56
mem,motor,0.5700000000000001
mixed,motor,0.8850000000000001
mixed,mem,0.715
motor,mixed,0.505
motor,mem,0.51
mem,mixed,0.76
mem,motor,0.76
mixed,motor,0.9600000000000002
mixed,mem,0.95
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.7799999999999999
mem,motor,0.7799999999999999
mixed,motor,0.875
mixed,mem,0.9200000000000002
motor,mixed,0.6500000000000001
motor,mem,0.62
mem,mixed,0.7649999999999999
mem,motor,0.7899999999999998
mixed,motor,0.7849999999999999
mixed,mem,0.7449999999999999
motor,mixed,0.495
motor,mem,0.495
mem,mixed,0.735
mem,motor,0.7749999999999999
mixed,motor,0.755
mixed,mem,0.6250000000000001
motor,mixed,0.5499999999999999
motor,mem,0.5499999999999999
mem,mixed,0.6399999999999999
mem,motor,0.665
mixed,motor,0.505
mixed,mem,0.5999999999999999
motor,mixed,0.43
motor,mem,0.585
mem,mixed,0.73
mem,motor,0.665
mixed,motor,0.9299999999999999
mixed,mem,0.745
motor,mixed,0.4600000000000001
motor,mem,0.5549999999999999
mem,mixed,0.64
mem,motor,0.5549999999999999
mixed,motor,0.6049999999999999
mixed,mem,0.5650000000000001
motor,mixed,0.725
motor,mem,0.835
mem,mixed,0.655
mem,motor,0.63
mixed,motor,0.89
mixed,mem,0.95
motor,mixed,0.86
motor,mem,0.9549999999999998
mem,mixed,0.7100000000000001
mem,motor,0.8699999999999999
mixed,motor,0.6199999999999999
mixed,mem,0.5700000000000001
motor,mixed,0.5050000000000001
motor,mem,0.61
mem,mixed,0.6299999999999999
mem,motor,0.625
mixed,motor,0.5399999999999999
mixed,mem,0.505
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.63
mem,motor,0.96
mixed,motor,0.505
mixed,mem,0.5299999999999999
motor,mixed,0.6950000000000001
motor,mem,0.73
mem,mixed,0.8299999999999998
mem,motor,0.655
mixed,motor,0.7849999999999999
mixed,mem,0.7999999999999999
motor,mixed,0.735
motor,mem,0.715
mem,mixed,0.7499999999999999
mem,motor,0.7449999999999999
mixed,motor,0.735
mixed,mem,0.755
motor,mixed,0.8149999999999998
motor,mem,0.8
mem,mixed,0.595
mem,motor,0.775
mixed,motor,0.5
mixed,mem,0.505
motor,mixed,0.6850000000000002
motor,mem,0.6850000000000002
mem,mixed,0.51
mem,motor,0.51
mixed,motor,0.8800000000000001
mixed,mem,0.95
motor,mixed,0.775
motor,mem,0.8699999999999999
mem,mixed,0.82
mem,motor,0.925
mixed,motor,0.6950000000000001
mixed,mem,0.6950000000000001
motor,mixed,0.66
motor,mem,0.67
mem,mixed,0.9000000000000001
mem,motor,0.9000000000000001
mixed,motor,0.5399999999999999
mixed,mem,0.595
motor,mixed,0.615
motor,mem,0.615
mem,mixed,0.635
mem,motor,0.78
mixed,motor,0.76
mixed,mem,0.75
motor,mixed,0.7500000000000001
motor,mem,0.78
mem,mixed,0.7849999999999999
mem,motor,0.7849999999999999
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.7699999999999999
motor,mem,0.8750000000000002
mem,mixed,0.765
mem,motor,0.765
mixed,motor,0.525
mixed,mem,0.525
motor,mixed,0.53
motor,mem,0.635
mem,mixed,0.77
mem,motor,0.73
mixed,motor,0.535
mixed,mem,0.535
motor,mixed,0.79
motor,mem,0.645
mem,mixed,0.82
mem,motor,0.825
mixed,motor,0.625
mixed,mem,0.625
motor,mixed,0.6450000000000001
motor,mem,0.7300000000000001
mem,mixed,0.8049999999999999
mem,motor,0.8049999999999999
mixed,motor,0.7799999999999999
mixed,mem,0.7799999999999999
motor,mixed,0.6399999999999999
motor,mem,0.835
mem,mixed,0.8499999999999999
mem,motor,0.85
mixed,motor,0.8800000000000001
mixed,mem,0.7949999999999999
motor,mixed,0.515
motor,mem,0.5349999999999999
mem,mixed,0.7200000000000001
mem,motor,0.86
mixed,motor,0.74
mixed,mem,0.74
motor,mixed,0.5449999999999999
motor,mem,0.525
mem,mixed,0.95
mem,motor,0.925
mixed,motor,0.655
mixed,mem,0.675
motor,mixed,0.785
motor,mem,0.785
mem,mixed,0.93
mem,motor,0.905
mixed,motor,0.5149999999999999
mixed,mem,0.6250000000000001
motor,mixed,0.6199999999999999
motor,mem,0.7899999999999999
mem,mixed,0.5549999999999999
mem,motor,0.5449999999999999
mixed,motor,0.495
mixed,mem,0.53
motor,mixed,0.5650000000000001
motor,mem,0.44000000000000006
mem,mixed,0.62
