,Task,Accuracy,Features
0,mixed,0.65,10
1,mixed,0.7,10
2,mixed,0.55,10
3,mixed,0.7,10
4,mixed,0.4,10
5,mixed,0.4,10
6,mixed,0.75,10
7,mixed,0.5,10
8,motor,0.85,10
9,motor,0.85,10
10,motor,0.6,10
11,motor,0.65,10
12,motor,0.7,10
13,motor,0.8,10
14,motor,0.75,10
15,motor,0.85,10
16,mem,0.75,10
17,mem,0.7,10
18,mem,0.9,10
19,mem,0.6,10
20,mem,0.9,10
21,mem,0.85,10
22,mem,0.6,10
23,mem,0.9,10
0,mixed,0.8,20
1,mixed,0.85,20
2,mixed,0.7,20
3,mixed,0.8,20
4,mixed,1.0,20
5,mixed,0.75,20
6,mixed,0.9,20
7,mixed,0.85,20
8,motor,0.8,20
9,motor,0.75,20
10,motor,0.7,20
11,motor,0.85,20
12,motor,0.9,20
13,motor,0.9,20
14,motor,0.8,20
15,motor,0.75,20
16,mem,1.0,20
17,mem,0.8,20
18,mem,0.8,20
19,mem,0.85,20
20,mem,1.0,20
21,mem,0.8,20
22,mem,0.85,20
23,mem,0.85,20
0,mixed,0.85,30
1,mixed,0.9,30
2,mixed,0.85,30
3,mixed,0.8,30
4,mixed,0.7,30
5,mixed,0.5,30
6,mixed,0.8,30
7,mixed,0.85,30
8,motor,0.8,30
9,motor,0.75,30
10,motor,1.0,30
11,motor,0.85,30
12,motor,1.0,30
13,motor,0.8,30
14,motor,0.7,30
15,motor,0.8,30
16,mem,0.9,30
17,mem,0.9,30
18,mem,0.8,30
19,mem,0.75,30
20,mem,0.9,30
21,mem,0.85,30
22,mem,0.9,30
23,mem,0.9,30
0,mixed,0.85,40
1,mixed,0.9,40
2,mixed,0.95,40
3,mixed,0.85,40
4,mixed,1.0,40
5,mixed,0.7,40
6,mixed,0.75,40
7,mixed,0.8,40
8,motor,0.75,40
9,motor,0.9,40
10,motor,0.7,40
11,motor,0.95,40
12,motor,0.9,40
13,motor,0.85,40
14,motor,0.8,40
15,motor,0.75,40
16,mem,0.65,40
17,mem,0.85,40
18,mem,0.8,40
19,mem,0.85,40
20,mem,0.95,40
21,mem,0.75,40
22,mem,0.75,40
23,mem,0.8,40
0,mixed,0.9,50
1,mixed,0.85,50
2,mixed,0.95,50
3,mixed,0.9,50
4,mixed,0.95,50
5,mixed,0.9,50
6,mixed,0.9,50
