train_task,test_task,acc
mixed,motor,0.6699999999999999
mixed,mem,0.8099999999999999
motor,mixed,0.685
motor,mem,0.7150000000000001
mem,mixed,0.825
mem,motor,0.7250000000000001
mixed,motor,0.63
mixed,mem,0.63125
motor,mixed,0.715
motor,mem,0.65625
mem,mixed,0.6950000000000001
mem,motor,0.76
mixed,motor,0.8550000000000001
mixed,mem,0.8149999999999998
motor,mixed,0.7249999999999999
motor,mem,0.66
mem,mixed,0.845
mem,motor,0.9000000000000001
mixed,motor,0.8400000000000001
mixed,mem,0.8549999999999999
motor,mixed,0.63
motor,mem,0.78
mem,mixed,0.7799999999999999
mem,motor,0.7699999999999999
mixed,motor,0.7944444444444445
mixed,mem,0.8800000000000001
motor,mixed,0.5349999999999999
motor,mem,0.5449999999999999
mem,mixed,0.655
mem,motor,0.7888888888888888
mixed,motor,0.5944444444444444
mixed,mem,0.6399999999999999
motor,mixed,0.9349999999999999
motor,mem,0.7699999999999999
mem,mixed,0.745
mem,motor,0.7166666666666667
mixed,motor,0.7999999999999999
mixed,mem,0.7899999999999999
motor,mixed,0.6950000000000001
motor,mem,0.8550000000000001
mem,mixed,0.8399999999999999
mem,motor,0.8099999999999999
mixed,motor,0.625
mixed,mem,0.58
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9600000000000002
mem,motor,0.9600000000000002
mixed,motor,0.5999999999999999
mixed,mem,0.625
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.6800000000000002
mem,motor,0.755
mixed,motor,0.635
mixed,mem,0.5199999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9800000000000001
mem,motor,0.9850000000000001
mixed,motor,0.665
mixed,mem,0.62
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9449999999999997
mem,motor,0.8800000000000001
mixed,motor,0.5833333333333333
mixed,mem,0.545
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9000000000000001
mem,motor,0.9777777777777779
mixed,motor,0.5555555555555556
mixed,mem,0.625
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.875
mem,motor,0.8722222222222223
mixed,motor,0.59
mixed,mem,0.535
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9
mem,motor,0.9400000000000001
mixed,motor,0.505
mixed,mem,0.51
motor,mixed,0.5
motor,mem,0.5499999999999999
mem,mixed,0.5
mem,motor,0.55
mixed,motor,0.915
mixed,mem,0.5800000000000001
motor,mixed,0.5
motor,mem,0.5549999999999999
mem,mixed,0.5375
mem,motor,0.55625
mixed,motor,0.73
mixed,mem,0.5349999999999999
motor,mixed,0.5199999999999999
motor,mem,0.5149999999999999
mem,mixed,0.56875
mem,motor,0.56875
mixed,motor,0.8549999999999999
mixed,mem,0.8949999999999999
motor,mixed,0.5299999999999999
motor,mem,0.7300000000000001
mem,mixed,0.6312499999999999
mem,motor,0.7062499999999999
mixed,motor,0.55
