train_task,test_task,diff
glass,mem,-0.0030158730158730144
glass,motor,0.010198412698412696
glass,semantic,-0.006091269841269819
mem,glass,0.0064087301587301545
mem,motor,-0.003482142857142876
mem,semantic,0.00437499999999999
motor,glass,0.030446428571428572
motor,mem,0.015535714285714283
motor,semantic,0.003124999999999991
semantic,glass,0.02808531746031745
semantic,mem,0.010535714285714272
semantic,motor,0.02919642857142856
glass,mem,-0.018759920634920626
glass,motor,-0.025595238095238112
glass,semantic,0.024732142857142845
mem,glass,0.03941468253968254
mem,motor,0.011874999999999988
mem,semantic,0.004732142857142861
motor,glass,0.019325396825396832
motor,mem,0.03642857142857143
motor,semantic,0.024464285714285716
semantic,glass,-0.01688492063492063
semantic,mem,0.010089285714285716
semantic,motor,0.01107142857142856
glass,mem,-0.006458333333333316
glass,motor,-0.00566468253968253
glass,semantic,-0.004940476190476188
mem,glass,-0.028710317460317457
mem,motor,-0.042232142857142864
mem,semantic,-0.01044642857142857
motor,glass,0.01881944444444446
motor,mem,0.010267857142857146
motor,semantic,-0.0008928571428571318
semantic,glass,-0.03649801587301587
semantic,mem,-0.032499999999999994
semantic,motor,-0.019999999999999983
glass,mem,-0.0002876984126983972
glass,motor,0.007876984126984144
glass,semantic,-0.012073412698412682
mem,glass,-0.013680555555555553
mem,motor,-0.011964285714285717
mem,semantic,-0.016607142857142865
motor,glass,0.0008630952380952402
motor,mem,0.0007142857142857199
motor,semantic,0.010982142857142869
semantic,glass,0.004017857142857144
semantic,mem,0.024196428571428563
semantic,motor,0.029285714285714276
glass,mem,-0.01767857142857141
glass,motor,0.034593253968253974
glass,semantic,0.022410714285714294
mem,glass,0.007470238095238123
mem,motor,0.033392857142857155
mem,semantic,0.01875
motor,glass,-0.012797619047619054
motor,mem,-0.005625000000000008
motor,semantic,-0.0074107142857142904
semantic,glass,0.005555555555555556
semantic,mem,0.002053571428571444
semantic,motor,0.005625000000000007
glass,mem,0.022976190476190483
glass,motor,0.02948412698412698
glass,semantic,0.01705357142857143
mem,glass,-0.04149801587301589
mem,motor,-0.039910714285714285
mem,semantic,-0.02785714285714284
motor,glass,-0.006448412698412708
motor,mem,-0.012410714285714287
motor,semantic,0.003124999999999995
semantic,glass,0.008908730158730156
semantic,mem,0.0220535714285714
semantic,motor,0.0016071428571428615
glass,mem,0.002837301587301572
glass,motor,0.006865079365079351
glass,semantic,-0.005079365079365096
mem,glass,0.02101190476190475
mem,motor,0.019553571428571417
mem,semantic,0.018303571428571426
motor,glass,-0.031924603174603175
motor,mem,-0.004821428571428575
motor,semantic,-0.0069642857142857085
semantic,glass,0.0035119047619047716
semantic,mem,-0.027767857142857146
semantic,motor,0.004732142857142851
glass,mem,0.012470238095238093
glass,motor,-0.007986111111111116
glass,semantic,0.018204365079365077
mem,glass,-0.016686507936507926
mem,motor,0.005000000000000014
mem,semantic,0.005000000000000002
motor,glass,0.00011904761904760594
motor,mem,-0.02633928571428574
motor,semantic,-0.0044642857142857305
semantic,glass,-0.0024603174603174504
semantic,mem,0.00598214285714286
semantic,motor,0.012410714285714275
glass,mem,0.020337301587301567
glass,motor,0.025198412698412692
glass,semantic,0.007688492063492043
mem,glass,0.028621031746031755
mem,motor,-0.012142857142857141
mem,semantic,0.0017857142857142902
motor,glass,0.05490079365079363
motor,mem,0.05651785714285712
motor,semantic,0.037589285714285714
semantic,glass,0.014623015873015871
semantic,mem,0.0038392857142857295
semantic,motor,-0.003392857142857145
glass,mem,-0.009305555555555565
glass,motor,-0.010376984126984115
glass,semantic,-0.0075297619047619046
mem,glass,0.0033630952380952284
mem,motor,-0.01982142857142857
mem,semantic,0.002857142857142852
motor,glass,-0.01823412698412698
motor,mem,-0.023035714285714288
motor,semantic,-0.017946428571428575
semantic,glass,-0.0023611111111111354
semantic,mem,0.0017857142857142674
semantic,motor,0.026874999999999975
glass,mem,-0.04061507936507937
glass,motor,-0.004414682539682533
glass,semantic,-0.04164682539682542
mem,glass,0.025714285714285728
mem,motor,0.003660714285714288
mem,semantic,0.014910714285714296
motor,glass,-0.004285714285714289
motor,mem,-0.020624999999999994
motor,semantic,-0.016964285714285713
semantic,glass,-0.010525793650793643
semantic,mem,-0.02839285714285714
semantic,motor,-0.007142857142857137
glass,mem,-0.010486111111111102
glass,motor,-0.008343253968253977
glass,semantic,-0.0006051587301587376
mem,glass,-0.011626984126984126
mem,motor,0.009732142857142854
mem,semantic,0.009642857142857135
motor,glass,0.002023809523809536
motor,mem,0.024910714285714296
motor,semantic,0.021428571428571457
semantic,glass,0.010694444444444454
semantic,mem,0.0008928571428571555
semantic,motor,-8.928571428569751e-05
glass,mem,0.021101190476190468
glass,motor,0.0015873015873015786
glass,semantic,0.02220238095238095
mem,glass,0.017509920634920628
mem,motor,0.025625000000000002
mem,semantic,0.02767857142857143
motor,glass,0.010605158730158718
motor,mem,0.0034821428571428456
motor,semantic,-0.014285714285714301
semantic,glass,-0.014712301587301595
semantic,mem,0.007321428571428562
semantic,motor,0.008124999999999983
glass,mem,-0.023938492063492047
glass,motor,0.02451388888888889
glass,semantic,-0.0035218253968253834
mem,glass,-0.006656746031746036
mem,motor,-0.005535714285714291
mem,semantic,-0.009732142857142854
motor,glass,-0.0029067460317460303
motor,mem,-0.005892857142857131
motor,semantic,0.013214285714285698
semantic,glass,0.017708333333333354
semantic,mem,0.006160714285714293
semantic,motor,0.000982142857142863
glass,mem,-0.0009226190476190491
glass,motor,-0.006656746031746021
glass,semantic,-0.026111111111111116
mem,glass,-0.01932539682539682
mem,motor,-0.007857142857142852
mem,semantic,0.001696428571428562
motor,glass,0.006279761904761907
motor,mem,-0.013035714285714286
motor,semantic,-0.024732142857142866
semantic,glass,-0.0029166666666666694
semantic,mem,-0.016250000000000007
semantic,motor,-0.013750000000000012
glass,mem,-0.022698412698412693
glass,motor,-0.0039186507936508005
glass,semantic,-0.0016666666666666655
mem,glass,-0.02924603174603177
mem,motor,-0.021875000000000026
mem,semantic,-0.01946428571428572
motor,glass,-0.022390873015873
motor,mem,-0.04321428571428567
motor,semantic,-0.021428571428571408
semantic,glass,0.01933531746031747
semantic,mem,0.03937500000000001
semantic,motor,0.03491071428571431
glass,mem,0.0024404761904761804
glass,motor,0.042142857142857114
glass,semantic,-0.0007638888888889013
mem,glass,-0.0197718253968254
mem,motor,0.02169642857142856
mem,semantic,0.03249999999999999
motor,glass,0.02767857142857142
motor,mem,0.017946428571428565
motor,semantic,0.03749999999999998
semantic,glass,0.01704365079365077
semantic,mem,0.003392857142857131
semantic,motor,0.01785714285714285
glass,mem,-0.005099206349206367
glass,motor,0.01852182539682539
glass,semantic,-0.001656746031746027
mem,glass,-0.021478174603174603
mem,motor,-0.009107142857142847
