task,diff_sub,same_sub
glass,0.5196626627269614,0.5196626627269614
mem,0.45238580486542446,0.45238580486542446
motor,0.49747886473429953,0.49747886473429953
semantic,0.5333705357142857,0.5333705357142857
glass,0.5119125235525865,0.5119125235525865
mem,0.49503327995600416,0.49503327995600416
motor,0.4900936044642547,0.4900936044642547
semantic,0.47752232142857143,0.47752232142857143
glass,0.4861039739636862,0.4861039739636862
mem,0.4974350575828157,0.4974350575828157
motor,0.47169517103708336,0.47169517103708336
semantic,0.4851674107142857,0.4851674107142857
glass,0.5327089221479959,0.5327089221479959
mem,0.5112628186464803,0.5112628186464803
motor,0.5071950048656726,0.5071950048656726
semantic,0.5096986607142857,0.5096986607142857
glass,0.4707865850177001,0.4707865850177001
mem,0.5195162881728779,0.5195162881728779
motor,0.5093445352413721,0.5093445352413721
semantic,0.4959933035714286,0.4959933035714286
glass,0.48573551872787485,0.48573551872787485
mem,0.519627288755176,0.519627288755176
motor,0.4831512507385396,0.4831512507385396
semantic,0.4930022321428572,0.4930022321428572
glass,0.5080958447527693,0.5080958447527693
mem,0.4772050498188406,0.4772050498188406
motor,0.4908280169342787,0.4908280169342787
semantic,0.47671874999999997,0.47671874999999997
glass,0.49862047861710634,0.49862047861710634
mem,0.5015254998059007,0.5015254998059007
motor,0.4649838145787718,0.4649838145787718
semantic,0.497109375,0.497109375
glass,0.4801415117905675,0.4801415117905675
mem,0.4859761176889234,0.4859761176889234
motor,0.49474634965940295,0.49474634965940295
semantic,0.5123939732142857,0.5123939732142857
glass,0.49819662127440906,0.49819662127440906
mem,0.513475349378882,0.513475349378882
motor,0.5070887854933445,0.5070887854933445
semantic,0.506796875,0.506796875
glass,0.5212046434281146,0.5212046434281146
mem,0.4915126002846791,0.4915126002846791
motor,0.547883323775762,0.547883323775762
semantic,0.52515625,0.52515625
glass,0.5071953151764302,0.5071953151764302
mem,0.4811893439440994,0.4811893439440994
motor,0.4957449257984916,0.4957449257984916
semantic,0.5093470982142857,0.5093470982142857
glass,0.5151065754539226,0.5151065754539226
mem,0.5304483291278468,0.5304483291278468
motor,0.49510029204896955,0.49510029204896955
semantic,0.5023102678571428,0.5023102678571428
glass,0.4861282402649309,0.4861282402649309
mem,0.5059671405926501,0.5059671405926501
motor,0.5103408577485837,0.5103408577485837
semantic,0.48866629464285716,0.48866629464285716
glass,0.5142373601119106,0.5142373601119106
mem,0.4697686173654244,0.4697686173654244
motor,0.48628466791783964,0.48628466791783964
semantic,0.4767410714285714,0.4767410714285714
glass,0.45955985211830536,0.45955985211830536
mem,0.4749156880822981,0.4749156880822981
motor,0.5238208482127342,0.5238208482127342
semantic,0.5120982142857142,0.5120982142857142
glass,0.511268752854859,0.511268752854859
mem,0.5104071638845755,0.5104071638845755
motor,0.5113233869426198,0.5113233869426198
semantic,0.5053627232142858,0.5053627232142858
glass,0.5021853053271668,0.5021853053271668
mem,0.49470836568322984,0.49470836568322984
motor,0.5078371406135961,0.5078371406135961
semantic,0.5310267857142857,0.5310267857142857
glass,0.48633575282631036,0.48633575282631036
mem,0.5232882861024846,0.5232882861024846
motor,0.48706166859990263,0.48706166859990263
semantic,0.4746316964285714,0.4746316964285714
glass,0.4875933182025808,0.4875933182025808
mem,0.4978192126035197,0.4978192126035197
motor,0.4879007120390644,0.4879007120390644
semantic,0.47547433035714287,0.47547433035714287
glass,0.506758254110997,0.506758254110997
mem,0.5043322576992754,0.5043322576992754
motor,0.4991738674277969,0.4991738674277969
semantic,0.5165625,0.5165625
glass,0.5113678699897225,0.5113678699897225
mem,0.487499797813147,0.487499797813147
motor,0.5073149903989852,0.5073149903989852
semantic,0.5254687499999999,0.5254687499999999
glass,0.5179817752940505,0.5179817752940505
mem,0.47114591420807456,0.47114591420807456
motor,0.47313030010773993,0.47313030010773993
semantic,0.4412667410714286,0.4412667410714286
glass,0.5107322177971908,0.5107322177971908
mem,0.5221402691511388,0.5221402691511388
motor,0.509266934278664,0.509266934278664
semantic,0.46950892857142856,0.46950892857142856
glass,0.5065700118476648,0.5065700118476648
mem,0.5050922780797101,0.5050922780797101
motor,0.466212315473708,0.466212315473708
semantic,0.49037946428571433,0.49037946428571433
glass,0.514041266986411,0.514041266986411
mem,0.4979407269021739,0.4979407269021739
motor,0.529195814544017,0.529195814544017
semantic,0.5119140625,0.5119140625
glass,0.5043760527292452,0.5043760527292452
