train,same,diff
MSC01,0.22,0.2165217391304348
MSC02,0.16,0.19971014492753622
MSC03,0.125,0.17002881844380402
MSC04,0.24000000000000002,0.2098550724637681
MSC05,0.2,0.22782608695652173
MSC06,0.24444444444444446,0.207492795389049
MSC07,0.2,0.1968529222864483
MSC10,0.2,0.21304347826086956
MSC01,0.22,0.20202898550724638
MSC02,0.26,0.22115942028985508
MSC03,0.225,0.19560518731988472
MSC04,0.22,0.2217391304347826
MSC05,0.14,0.20695652173913043
MSC06,0.3111111111111111,0.21101504963176432
MSC07,0.15555555555555556,0.19813744380218368
MSC10,0.24000000000000002,0.19507246376811593
MSC01,0.2,0.18811594202898552
MSC02,0.18000000000000002,0.19999999999999998
MSC03,0.25,0.20785302593659943
MSC04,0.26,0.19391304347826088
MSC05,0.18000000000000002,0.18521739130434783
MSC06,0.24444444444444444,0.2170989433237272
MSC07,0.13333333333333333,0.19588953114964675
MSC10,0.18000000000000002,0.2
MSC01,0.2,0.1956521739130435
MSC02,0.18000000000000002,0.1855072463768116
MSC03,0.2,0.18623919308357348
MSC04,0.24000000000000002,0.21391304347826087
MSC05,0.26,0.20318840579710146
MSC06,0.2888888888888889,0.19212295869356388
MSC07,0.22222222222222224,0.20488118175979447
MSC10,0.16,0.21797101449275363
MSC01,0.24000000000000002,0.20782608695652174
MSC02,0.16,0.19043478260869565
MSC03,0.35,0.1844380403458213
MSC04,0.18000000000000002,0.18434782608695652
MSC05,0.22,0.19536231884057972
MSC06,0.15555555555555556,0.20140890169708614
MSC07,0.2888888888888889,0.2145150931278099
MSC10,0.18000000000000002,0.1782608695652174
MSC01,0.3,0.18666666666666668
MSC02,0.18000000000000002,0.2046376811594203
MSC03,0.15,0.1873198847262248
MSC04,0.18000000000000002,0.1910144927536232
MSC05,0.2,0.2081159420289855
MSC06,0.26666666666666666,0.2132564841498559
MSC07,0.13333333333333333,0.19107257546563905
MSC10,0.28,0.20521739130434782
MSC01,0.2,0.20463768115942027
MSC02,0.24,0.19304347826086957
MSC03,0.225,0.21469740634005763
MSC04,0.22,0.1944927536231884
MSC05,0.16,0.20231884057971014
MSC06,0.13333333333333333,0.2132564841498559
MSC07,0.22222222222222224,0.2023121387283237
MSC10,0.22,0.21043478260869564
MSC01,0.08,0.20579710144927535
MSC02,0.34,0.19999999999999998
MSC03,0.275,0.21469740634005763
MSC04,0.28,0.22289855072463768
MSC05,0.18000000000000002,0.20956521739130435
MSC06,0.22222222222222224,0.17995517130963817
MSC07,0.15555555555555556,0.20616570327552985
MSC10,0.18000000000000002,0.2110144927536232
MSC01,0.22,0.20057971014492754
MSC02,0.2,0.2063768115942029
MSC03,0.15000000000000002,0.1930835734870317
MSC04,0.22,0.20521739130434782
MSC05,0.08,0.18028985507246376
MSC06,0.15555555555555556,0.18860070445084853
MSC07,0.2888888888888889,0.19107257546563905
MSC10,0.16,0.1944927536231884
MSC01,0.16,0.2
MSC02,0.34,0.22666666666666666
MSC03,0.25,0.1786743515850144
MSC04,0.1,0.2046376811594203
MSC05,0.24,0.20898550724637682
MSC06,0.13333333333333333,0.17515209734229908
MSC07,0.13333333333333333,0.1599229287090559
MSC10,0.3,0.20608695652173914
MSC01,0.22,0.22202898550724637
MSC02,0.22,0.19246376811594204
MSC03,0.225,0.20461095100864554
MSC04,0.24000000000000002,0.18231884057971015
MSC05,0.22,0.18405797101449275
MSC06,0.2888888888888889,0.1988472622478386
MSC07,0.17777777777777778,0.2010276172125883
MSC10,0.2,0.19478260869565217
MSC01,0.18000000000000002,0.17507246376811594
MSC02,0.14,0.21768115942028984
MSC03,0.275,0.194164265129683
MSC04,0.28,0.2281159420289855
MSC05,0.1,0.18057971014492752
MSC06,0.2,0.18924111431316043
MSC07,0.13333333333333333,0.197495183044316
MSC10,0.2,0.1991304347826087
MSC01,0.22,0.20927536231884059
MSC02,0.18000000000000002,0.20434782608695654
MSC03,0.225,0.2154178674351585
MSC04,0.2,0.21710144927536232
MSC05,0.08,0.18318840579710144
MSC06,0.33333333333333337,0.19724623759205892
MSC07,0.15555555555555556,0.18400770712909442
MSC10,0.16,0.2072463768115942
MSC01,0.26,0.2046376811594203
MSC02,0.22,0.19275362318840578
MSC03,0.2,0.20605187319884727
MSC04,0.26,0.21159420289855072
MSC05,0.2,0.19014492753623188
MSC06,0.24444444444444446,0.1978866474543708
MSC07,0.22222222222222224,0.1907514450867052
MSC10,0.18,0.20579710144927535
MSC01,0.2,0.1855072463768116
MSC02,0.24000000000000002,0.18463768115942028
MSC03,0.2,0.1851585014409222
MSC04,0.14,0.19217391304347825
MSC05,0.22,0.19855072463768117
MSC06,0.17777777777777778,0.19212295869356388
MSC07,0.13333333333333333,0.1955684007707129
MSC10,0.2,0.1944927536231884
MSC01,0.26,0.22057971014492755
MSC02,0.26,0.1944927536231884
MSC03,0.25,0.18371757925072046
MSC04,0.32,0.1973913043478261
MSC05,0.18,0.19391304347826088
MSC06,0.2,0.19340377841818765
MSC07,0.33333333333333337,0.20809248554913296
MSC10,0.12000000000000001,0.1973913043478261
MSC01,0.12000000000000001,0.19797101449275362
MSC02,0.18000000000000002,0.19971014492753622
MSC03,0.275,0.20280979827089338
MSC04,0.16,0.18521739130434783
MSC05,0.12000000000000001,0.1872463768115942
MSC06,0.17777777777777778,0.23759205891770732
MSC07,0.17777777777777778,0.1926782273603083
MSC10,0.24000000000000002,0.196231884057971
MSC01,0.2,0.20492753623188406
MSC02,0.32,0.2046376811594203
MSC03,0.25,0.19596541786743515
MSC04,0.16,0.17768115942028986
MSC05,0.24000000000000002,0.18869565217391304
MSC06,0.2,0.19468459814281142
MSC07,0.22222222222222224,0.2113037893384714
MSC10,0.32,0.2081159420289855
MSC01,0.16,0.22
MSC02,0.18000000000000002,0.18811594202898552
MSC03,0.225,0.23018731988472624
MSC04,0.26,0.21710144927536232
MSC05,0.18000000000000002,0.2072463768115942
MSC06,0.15555555555555556,0.21389689401216777
MSC07,0.22222222222222224,0.1955684007707129
MSC10,0.16,0.20173913043478262
MSC01,0.14,0.1808695652173913
MSC02,0.2,0.20318840579710146
MSC03,0.2,0.19380403458213255
MSC04,0.24000000000000002,0.2
MSC05,0.18,0.17739130434782607
MSC06,0.26666666666666666,0.20493115593980146
MSC07,0.17777777777777778,0.18978805394990367
MSC10,0.14,0.1817391304347826
MSC01,0.2,0.18840579710144928
