MSC03,train,test,MSC04
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,1.0
0.8,mixed,mem,1.0
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,1.0
0.75,mixed,mem,1.0
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,1.0
0.75,mixed,mem,1.0
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,1.0
0.8,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,1.0
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,0.95
0.8,mixed,mem,1.0
0.8,mixed,mem,1.0
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,0.95
0.75,mixed,mem,1.0
0.75,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,1.0
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.95
0.65,mem,mixed,0.95
0.6,mem,mixed,0.9
0.6,mem,mixed,0.95
0.6,mem,mixed,0.9
0.6,mem,mixed,0.9
0.6,mem,mixed,0.9
0.6,mem,mixed,0.9
0.6,mem,mixed,0.9
0.6,mem,mixed,0.9
0.6,mem,mixed,0.95
0.6,mem,mixed,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.95
0.65,mem,mixed,0.95
0.55,mem,mixed,0.9
0.55,mem,mixed,0.95
0.55,mem,mixed,0.9
0.55,mem,mixed,0.9
0.55,mem,mixed,0.9
0.55,mem,mixed,0.9
0.55,mem,mixed,0.9
0.55,mem,mixed,0.9
0.55,mem,mixed,0.95
0.55,mem,mixed,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.95
0.65,mem,mixed,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.95
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
0.65,mem,mixed,0.9
