MSC06,train,test
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
0.9,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.9,mixed,motor
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.8,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.9,mem,motor
0.95,mem,motor
0.9,mem,motor
0.8,mem,motor
0.9,mem,motor
0.9,mem,motor
0.9,mem,motor
0.95,mem,motor
0.95,mem,motor
0.95,mem,motor
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.8,motor,mem
0.75,motor,mem
0.75,motor,mem
0.75,motor,mem
0.75,motor,mem
0.8,motor,mem
0.7,motor,mem
0.65,motor,mem
0.75,motor,mem
0.75,motor,mem
