MSC01,train,test,MSC02
0.8,mixed,mem,0.85
0.8,mixed,mem,0.75
0.8,mixed,mem,0.8
0.8,mixed,mem,0.85
0.8,mixed,mem,0.85
0.8,mixed,mem,0.85
0.8,mixed,mem,0.85
0.8,mixed,mem,0.85
0.8,mixed,mem,0.85
0.8,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.75
0.95,mixed,mem,0.8
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.85
0.95,mixed,mem,0.8
0.95,mixed,motor,0.75
0.95,mixed,motor,0.75
0.95,mixed,motor,0.6
0.95,mixed,motor,0.85
0.95,mixed,motor,0.8
0.95,mixed,motor,0.7
0.95,mixed,motor,0.8
0.95,mixed,motor,0.7
0.95,mixed,motor,0.85
0.95,mixed,motor,0.7
1.0,mixed,motor,0.75
1.0,mixed,motor,0.75
1.0,mixed,motor,0.6
1.0,mixed,motor,0.85
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
1.0,mixed,motor,0.85
1.0,mixed,motor,0.7
1.0,mixed,motor,0.75
1.0,mixed,motor,0.75
1.0,mixed,motor,0.6
1.0,mixed,motor,0.85
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
1.0,mixed,motor,0.85
1.0,mixed,motor,0.7
1.0,mixed,motor,0.75
1.0,mixed,motor,0.75
1.0,mixed,motor,0.6
1.0,mixed,motor,0.85
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
1.0,mixed,motor,0.85
1.0,mixed,motor,0.7
1.0,mixed,motor,0.75
1.0,mixed,motor,0.75
1.0,mixed,motor,0.6
1.0,mixed,motor,0.85
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
1.0,mixed,motor,0.8
1.0,mixed,motor,0.7
