MSC02,train,test
0.85,mixed,mem
0.75,mixed,mem
0.8,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.8,mixed,mem
0.75,mixed,motor
0.75,mixed,motor
0.6,mixed,motor
0.85,mixed,motor
0.8,mixed,motor
0.7,mixed,motor
0.8,mixed,motor
0.7,mixed,motor
0.85,mixed,motor
0.7,mixed,motor
0.8,mem,mixed
0.7,mem,mixed
0.7,mem,mixed
0.7,mem,mixed
0.7,mem,mixed
0.8,mem,mixed
0.75,mem,mixed
0.7,mem,mixed
0.7,mem,mixed
0.75,mem,mixed
0.6,mem,motor
0.65,mem,motor
0.6,mem,motor
0.65,mem,motor
0.65,mem,motor
0.65,mem,motor
0.65,mem,motor
0.65,mem,motor
0.6,mem,motor
0.6,mem,motor
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
