MSC01,train,test
0.8,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
0.95,mem,mixed
0.95,mem,mixed
0.9,mem,mixed
0.95,mem,mixed
0.95,mem,mixed
0.95,mem,mixed
0.95,mem,mixed
0.95,mem,mixed
0.95,mem,mixed
0.95,mem,mixed
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
1.0,mem,motor
0.8,motor,mixed
0.8,motor,mixed
0.8,motor,mixed
0.8,motor,mixed
0.85,motor,mixed
0.85,motor,mixed
0.8,motor,mixed
0.8,motor,mixed
0.85,motor,mixed
0.8,motor,mixed
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
