MSC07,train,test
0.9,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
1.0,mixed,mem
0.9,mixed,mem
0.8,mixed,motor
0.8,mixed,motor
0.75,mixed,motor
0.9,mixed,motor
0.85,mixed,motor
0.85,mixed,motor
0.8,mixed,motor
0.9,mixed,motor
0.85,mixed,motor
0.8,mixed,motor
0.95,mem,mixed
0.9,mem,mixed
0.95,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.8,mem,mixed
0.85,mem,mixed
0.8,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.75,mem,motor
0.75,mem,motor
0.75,mem,motor
0.75,mem,motor
0.75,mem,motor
0.85,mem,motor
0.75,mem,motor
0.85,mem,motor
0.85,mem,motor
0.8,mem,motor
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
0.5,motor,mem
