MSC05,train,test,MSC06
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.9
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.95
0.95,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.9
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.95
1.0,mixed,motor,0.9
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.8,mem,mixed,0.75
0.8,mem,mixed,0.75
0.8,mem,mixed,0.75
0.8,mem,mixed,0.75
0.8,mem,mixed,0.75
0.8,mem,mixed,0.75
0.8,mem,mixed,0.75
0.8,mem,mixed,0.8
0.8,mem,mixed,0.75
0.8,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
0.85,mem,mixed,0.8
0.85,mem,mixed,0.75
0.85,mem,mixed,0.75
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.9
1.0,mem,motor,0.8
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.9
1.0,mem,motor,0.95
1.0,mem,motor,0.95
