MSC05,train,test
0.45,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
1.0,mixed,mem
0.95,mixed,mem
0.9,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.4,mixed,motor
0.95,mixed,motor
0.85,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.8,mixed,motor
0.8,mixed,motor
0.85,mixed,motor
0.75,mixed,motor
0.85,mixed,motor
0.8,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.7,mem,mixed
0.85,mem,mixed
0.8,mem,mixed
0.8,mem,mixed
0.75,mem,mixed
0.8,mem,mixed
0.9,mem,mixed
0.95,mem,motor
0.85,mem,motor
0.65,mem,motor
0.65,mem,motor
0.75,mem,motor
0.7,mem,motor
0.65,mem,motor
0.65,mem,motor
0.7,mem,motor
0.75,mem,motor
0.35,motor,mixed
0.25,motor,mixed
0.65,motor,mixed
0.65,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.75,motor,mixed
0.65,motor,mixed
0.65,motor,mixed
0.6,motor,mixed
0.5,motor,mem
0.45,motor,mem
1.0,motor,mem
0.9,motor,mem
0.95,motor,mem
0.95,motor,mem
1.0,motor,mem
1.0,motor,mem
0.9,motor,mem
0.8,motor,mem
