MSC06,train,test
0.8,mixed,mem
0.85,mixed,mem
0.75,mixed,mem
0.9,mixed,mem
0.4,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.25,mixed,mem
0.7777777777777778,mixed,motor
0.7777777777777778,mixed,motor
0.7222222222222222,mixed,motor
0.7777777777777778,mixed,motor
0.3333333333333333,mixed,motor
0.8333333333333334,mixed,motor
0.7777777777777778,mixed,motor
0.7777777777777778,mixed,motor
0.7777777777777778,mixed,motor
0.3333333333333333,mixed,motor
0.7,mem,mixed
0.75,mem,mixed
0.2,mem,mixed
0.7,mem,mixed
0.75,mem,mixed
0.7,mem,mixed
0.7,mem,mixed
0.7,mem,mixed
0.65,mem,mixed
0.7,mem,mixed
0.6111111111111112,mem,motor
0.6666666666666666,mem,motor
0.16666666666666666,mem,motor
0.6111111111111112,mem,motor
0.6666666666666666,mem,motor
0.6666666666666666,mem,motor
0.6666666666666666,mem,motor
0.6111111111111112,mem,motor
0.7222222222222222,mem,motor
0.7222222222222222,mem,motor
0.75,motor,mixed
0.65,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.75,motor,mixed
0.7,motor,mixed
0.8,motor,mixed
0.7,motor,mixed
0.65,motor,mixed
0.8,motor,mem
0.75,motor,mem
0.8,motor,mem
0.7,motor,mem
0.8,motor,mem
0.7,motor,mem
0.7,motor,mem
0.75,motor,mem
0.8,motor,mem
