MSC04,train,test
0.8,mixed,mem
0.8,mixed,mem
0.75,mixed,mem
0.35,mixed,mem
0.7,mixed,mem
0.75,mixed,mem
0.75,mixed,mem
0.7,mixed,mem
0.3,mixed,mem
0.75,mixed,mem
0.8,mixed,motor
0.8,mixed,motor
0.8,mixed,motor
0.3,mixed,motor
0.75,mixed,motor
0.85,mixed,motor
0.8,mixed,motor
0.75,mixed,motor
0.35,mixed,motor
0.8,mixed,motor
0.7,mem,mixed
0.6,mem,mixed
0.7,mem,mixed
0.7,mem,mixed
0.65,mem,mixed
0.7,mem,mixed
0.6,mem,mixed
0.7,mem,mixed
0.65,mem,mixed
0.7,mem,mixed
0.65,mem,motor
0.65,mem,motor
0.65,mem,motor
0.65,mem,motor
0.6,mem,motor
0.65,mem,motor
0.65,mem,motor
0.7,mem,motor
0.65,mem,motor
0.65,mem,motor
0.85,motor,mixed
0.3,motor,mixed
0.85,motor,mixed
0.8,motor,mixed
0.75,motor,mixed
0.75,motor,mixed
0.75,motor,mixed
0.75,motor,mixed
0.85,motor,mixed
0.85,motor,mixed
0.85,motor,mem
0.35,motor,mem
0.85,motor,mem
0.8,motor,mem
0.75,motor,mem
0.8,motor,mem
0.8,motor,mem
0.7,motor,mem
0.8,motor,mem
0.8,motor,mem
