MSC01,train,test
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.95,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
1.0,mixed,motor
1.0,mixed,motor
0.95,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
1.0,mixed,motor
0.5,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
1.0,mem,mixed
0.4,mem,motor
1.0,mem,motor
0.95,mem,motor
0.95,mem,motor
0.95,mem,motor
0.9,mem,motor
0.9,mem,motor
0.9,mem,motor
0.85,mem,motor
0.95,mem,motor
0.5,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
1.0,motor,mixed
0.4,motor,mem
0.9,motor,mem
0.75,motor,mem
0.75,motor,mem
0.85,motor,mem
0.85,motor,mem
0.8,motor,mem
0.75,motor,mem
0.7,motor,mem
0.8,motor,mem
