MSC02,train,test
0.8,mixed,mem
0.9,mixed,mem
0.8,mixed,mem
0.85,mixed,mem
0.85,mixed,mem
0.4,mixed,mem
0.85,mixed,mem
0.8,mixed,mem
0.8,mixed,mem
0.4,mixed,mem
0.65,mixed,motor
0.7,mixed,motor
0.65,mixed,motor
0.7,mixed,motor
0.7,mixed,motor
0.2,mixed,motor
0.65,mixed,motor
0.7,mixed,motor
0.65,mixed,motor
0.2,mixed,motor
0.6,mem,mixed
0.6,mem,mixed
0.65,mem,mixed
0.7,mem,mixed
0.55,mem,mixed
0.3,mem,mixed
0.55,mem,mixed
0.55,mem,mixed
0.55,mem,mixed
0.7,mem,mixed
0.5,mem,motor
0.5,mem,motor
0.55,mem,motor
0.55,mem,motor
0.6,mem,motor
0.1,mem,motor
0.55,mem,motor
0.5,mem,motor
0.55,mem,motor
0.6,mem,motor
0.55,motor,mixed
0.65,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.65,motor,mixed
0.55,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.1,motor,mixed
0.6,motor,mem
0.7,motor,mem
0.65,motor,mem
0.5,motor,mem
0.6,motor,mem
0.7,motor,mem
0.6,motor,mem
0.6,motor,mem
0.6,motor,mem
0.25,motor,mem
