MSC03,train,test
0.9375,mixed,mem
0.4375,mixed,mem
0.9375,mixed,mem
0.875,mixed,mem
0.9375,mixed,mem
0.9375,mixed,mem
0.5,mixed,mem
0.9375,mixed,mem
0.4375,mixed,mem
0.9375,mixed,mem
0.9,mixed,motor
0.5,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
0.5,mixed,motor
1.0,mixed,motor
0.5,mixed,motor
1.0,mixed,motor
0.7,mem,mixed
0.65,mem,mixed
0.7,mem,mixed
0.65,mem,mixed
0.65,mem,mixed
0.65,mem,mixed
0.15,mem,mixed
0.7,mem,mixed
0.7,mem,motor
0.7,mem,motor
0.8,mem,motor
0.65,mem,motor
0.65,mem,motor
0.75,mem,motor
0.3,mem,motor
0.7,mem,motor
0.75,motor,mixed
0.8,motor,mixed
0.75,motor,mixed
0.75,motor,mixed
0.75,motor,mixed
0.8,motor,mixed
0.25,motor,mixed
0.75,motor,mixed
0.75,motor,mixed
0.75,motor,mixed
0.625,motor,mem
0.625,motor,mem
0.625,motor,mem
0.625,motor,mem
0.6875,motor,mem
0.625,motor,mem
0.25,motor,mem
0.625,motor,mem
0.625,motor,mem
0.625,motor,mem
