train_task,test_task,acc
mixed,motor,0.5
mixed,mem,0.53
motor,mixed,0.6300000000000001
motor,mem,0.8750000000000002
mem,mixed,0.67
mem,motor,0.52
mixed,motor,0.52
mixed,mem,0.685
motor,mixed,0.615
motor,mem,0.66
mem,mixed,0.7
mem,motor,0.625
mixed,motor,0.685
mixed,mem,0.775
motor,mixed,0.645
motor,mem,0.7
mem,mixed,0.625
mem,motor,0.51
mixed,motor,0.72
mixed,mem,0.915
motor,mixed,0.925
motor,mem,1.0
mem,mixed,0.8550000000000001
mem,motor,0.8699999999999999
mixed,motor,0.67
mixed,mem,0.585
motor,mixed,0.7949999999999999
motor,mem,0.9
mem,mixed,0.75
mem,motor,0.925
mixed,motor,0.605
mixed,mem,0.595
motor,mixed,0.6199999999999999
motor,mem,0.655
mem,mixed,0.85
mem,motor,0.64
mixed,motor,0.7550000000000001
mixed,mem,0.725
motor,mixed,0.655
motor,mem,0.6850000000000002
mem,mixed,0.7699999999999999
mem,motor,0.705
mixed,motor,0.915
mixed,mem,0.8549999999999999
motor,mixed,0.505
motor,mem,0.505
mem,mixed,0.945
mem,motor,0.9800000000000001
mixed,motor,0.6050000000000001
mixed,mem,0.71
motor,mixed,0.8499999999999999
motor,mem,0.635
mem,mixed,0.7499999999999999
mem,motor,0.7949999999999998
mixed,motor,0.8750000000000002
mixed,mem,0.66
motor,mixed,0.5399999999999999
motor,mem,0.5449999999999999
mem,mixed,0.8750000000000002
mem,motor,0.9199999999999999
mixed,motor,0.97
mixed,mem,0.96
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.8299999999999998
mem,motor,0.8699999999999999
mixed,motor,0.8600000000000001
mixed,mem,0.86
motor,mixed,0.6950000000000001
motor,mem,0.6249999999999999
mem,mixed,0.8550000000000001
mem,motor,0.89
mixed,motor,0.73
mixed,mem,0.695
motor,mixed,0.49000000000000005
motor,mem,0.495
mem,mixed,0.755
mem,motor,0.7649999999999999
mixed,motor,0.6950000000000001
mixed,mem,0.575
motor,mixed,0.5499999999999999
motor,mem,0.5499999999999999
mem,mixed,0.78
mem,motor,0.7849999999999999
mixed,motor,0.5
mixed,mem,0.575
motor,mixed,0.37500000000000006
motor,mem,0.5200000000000001
mem,mixed,0.65
mem,motor,0.66
mixed,motor,0.925
mixed,mem,0.745
motor,mixed,0.43499999999999994
motor,mem,0.5850000000000001
mem,mixed,0.6900000000000001
mem,motor,0.61
mixed,motor,0.6049999999999999
mixed,mem,0.5499999999999999
motor,mixed,0.665
motor,mem,0.8049999999999999
mem,mixed,0.6700000000000002
mem,motor,0.6100000000000001
mixed,motor,0.885
mixed,mem,0.9650000000000001
motor,mixed,0.845
motor,mem,0.9549999999999998
mem,mixed,0.7000000000000001
mem,motor,0.8899999999999999
mixed,motor,0.6249999999999999
mixed,mem,0.545
motor,mixed,0.495
motor,mem,0.605
mem,mixed,0.6449999999999999
mem,motor,0.655
mixed,motor,0.5349999999999999
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.6300000000000001
mem,motor,0.9650000000000001
mixed,motor,0.5
mixed,mem,0.5199999999999999
motor,mixed,0.6399999999999999
motor,mem,0.6950000000000001
mem,mixed,0.805
mem,motor,0.635
mixed,motor,0.925
mixed,mem,0.99
motor,mixed,0.69
motor,mem,0.59
mem,mixed,0.67
mem,motor,0.86
mixed,motor,0.7499999999999999
mixed,mem,0.825
motor,mixed,0.8699999999999999
motor,mem,0.825
mem,mixed,0.5900000000000001
mem,motor,0.5649999999999998
mixed,motor,0.6350000000000001
mixed,mem,0.6400000000000001
motor,mixed,0.7150000000000001
motor,mem,0.7350000000000001
mem,mixed,0.655
mem,motor,0.5649999999999998
mixed,motor,0.8800000000000001
mixed,mem,0.9350000000000002
motor,mixed,0.765
motor,mem,0.8950000000000001
mem,mixed,0.67
mem,motor,0.805
mixed,motor,0.725
mixed,mem,0.725
motor,mixed,0.635
motor,mem,0.67
mem,mixed,0.915
mem,motor,0.975
mixed,motor,0.55
mixed,mem,0.62
motor,mixed,0.5899999999999999
motor,mem,0.55
mem,mixed,0.625
mem,motor,0.7300000000000001
mixed,motor,0.7300000000000001
mixed,mem,0.7649999999999999
motor,mixed,0.7050000000000001
motor,mem,0.7899999999999999
mem,mixed,0.8950000000000002
mem,motor,0.9000000000000001
mixed,motor,0.5799999999999998
mixed,mem,0.59
motor,mixed,0.6599999999999999
motor,mem,0.8249999999999998
mem,mixed,0.8950000000000001
mem,motor,0.95
mixed,motor,0.5800000000000001
mixed,mem,0.6199999999999999
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.7899999999999999
mem,motor,0.6600000000000001
mixed,motor,0.8699999999999999
mixed,mem,0.7849999999999999
motor,mixed,0.705
motor,mem,0.6200000000000001
mem,mixed,0.7949999999999999
mem,motor,0.8099999999999999
mixed,motor,0.8299999999999998
mixed,mem,0.8400000000000001
motor,mixed,0.6450000000000001
motor,mem,0.6700000000000002
mem,mixed,0.7849999999999999
mem,motor,0.6950000000000001
mixed,motor,0.9349999999999999
mixed,mem,0.9299999999999999
motor,mixed,0.58
motor,mem,0.77
mem,mixed,0.845
mem,motor,0.8099999999999999
mixed,motor,0.86
mixed,mem,0.685
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.64
mem,motor,0.7699999999999999
mixed,motor,0.8950000000000001
mixed,mem,0.9000000000000001
motor,mixed,0.53
motor,mem,0.52
mem,mixed,0.915
mem,motor,0.9000000000000001
mixed,motor,0.8249999999999998
mixed,mem,0.8550000000000001
motor,mixed,0.8949999999999999
motor,mem,0.8799999999999999
mem,mixed,0.8900000000000002
mem,motor,0.8600000000000001
mixed,motor,0.6250000000000001
mixed,mem,0.7350000000000001
motor,mixed,0.61
motor,mem,0.8099999999999999
mem,mixed,0.505
mem,motor,0.5
mixed,motor,0.4800000000000001
mixed,mem,0.5399999999999999
motor,mixed,0.59
motor,mem,0.5350000000000001
mem,mixed,0.565
mem,motor,0.40499999999999997
mixed,motor,0.7300000000000001
mixed,mem,0.61
motor,mixed,0.7250000000000001
motor,mem,0.795
mem,mixed,0.675
mem,motor,0.65
mixed,motor,0.73
mixed,mem,0.8799999999999999
motor,mixed,0.8200000000000001
motor,mem,0.7899999999999999
mem,mixed,0.65
mem,motor,0.625
mixed,motor,0.835
mixed,mem,0.715
motor,mixed,0.675
motor,mem,0.7150000000000001
mem,mixed,0.7949999999999999
mem,motor,0.6850000000000002
mixed,motor,0.875
mixed,mem,0.925
motor,mixed,0.585
motor,mem,0.85
mem,mixed,0.7100000000000001
mem,motor,0.6
mixed,motor,0.8299999999999998
mixed,mem,0.76
motor,mixed,0.64
motor,mem,0.5499999999999999
mem,mixed,0.93
mem,motor,0.96
mixed,motor,0.495
mixed,mem,0.71
motor,mixed,0.6950000000000001
motor,mem,0.675
mem,mixed,0.7599999999999999
mem,motor,0.5599999999999999
mixed,motor,0.4600000000000001
mixed,mem,0.7849999999999999
motor,mixed,0.6900000000000001
motor,mem,0.825
mem,mixed,0.635
mem,motor,0.615
mixed,motor,0.5549999999999999
mixed,mem,0.6500000000000001
motor,mixed,0.5999999999999999
motor,mem,0.575
mem,mixed,0.7999999999999999
mem,motor,0.75
mixed,motor,0.575
mixed,mem,0.6900000000000001
motor,mixed,0.675
motor,mem,0.875
mem,mixed,0.7
mem,motor,0.7350000000000001
mixed,motor,0.5549999999999999
mixed,mem,0.5399999999999999
motor,mixed,0.745
motor,mem,0.735
mem,mixed,0.5949999999999999
mem,motor,0.7899999999999999
mixed,motor,0.5799999999999998
mixed,mem,0.575
motor,mixed,0.8150000000000001
motor,mem,0.765
mem,mixed,0.615
mem,motor,0.62
mixed,motor,0.61
mixed,mem,0.8450000000000001
motor,mixed,0.6499999999999999
motor,mem,0.5599999999999998
mem,mixed,0.7050000000000001
mem,motor,0.825
mixed,motor,0.51
mixed,mem,0.5700000000000001
motor,mixed,0.5149999999999999
motor,mem,0.54
mem,mixed,0.5549999999999999
mem,motor,0.6450000000000001
mixed,motor,0.7100000000000001
mixed,mem,0.9150000000000003
motor,mixed,0.5349999999999999
motor,mem,0.68
mem,mixed,0.655
mem,motor,0.665
mixed,motor,0.52
mixed,mem,0.63
motor,mixed,0.53
motor,mem,0.5399999999999999
mem,mixed,0.665
mem,motor,0.725
mixed,motor,0.755
mixed,mem,1.0
motor,mixed,0.505
motor,mem,0.6099999999999999
mem,mixed,0.86
mem,motor,0.825
mixed,motor,0.59
mixed,mem,0.8949999999999999
motor,mixed,0.625
motor,mem,0.5549999999999999
mem,mixed,0.8699999999999999
mem,motor,0.885
mixed,motor,0.655
mixed,mem,0.505
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.59
mem,motor,0.7649999999999999
