train_task,test_task,acc
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.615
mem,motor,0.615
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,0.5625
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,0.8099999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,0.835
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5949999999999999
mem,motor,0.5499999999999999
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.6500000000000001
motor,mem,1.0
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5499999999999999
motor,mixed,1.0
motor,mem,0.5499999999999999
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.78
mixed,mem,0.78
motor,mixed,0.5499999999999999
motor,mem,1.0
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,1.0
motor,mem,0.5
mem,mixed,1.0
mem,motor,0.9222222222222223
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5
motor,mem,1.0
mem,mixed,0.5
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,1.0
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.8399999999999999
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5499999999999999
mem,mixed,0.65
mem,motor,0.8687499999999999
mixed,motor,0.5499999999999999
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.615
motor,mem,0.5
mem,mixed,1.0
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.6
mem,mixed,0.5
mem,motor,1.0
mixed,motor,0.905
mixed,mem,0.905
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.95
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.49000000000000005
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9949999999999999
mem,motor,1.0
mixed,motor,0.505
mixed,mem,0.50625
motor,mixed,1.0
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,1.0
mixed,motor,0.5277777777777778
mixed,mem,0.52
motor,mixed,0.5
motor,mem,0.5
mem,mixed,1.0
mem,motor,0.5
mixed,motor,0.49444444444444446
mixed,mem,0.495
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,1.0
mixed,motor,0.6
mixed,mem,0.58
motor,mixed,0.5999999999999999
motor,mem,1.0
mem,mixed,0.505
mem,motor,0.505
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,1.0
motor,mem,1.0
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.6900000000000002
mixed,mem,0.73125
motor,mixed,1.0
motor,mem,1.0
mem,mixed,0.7849999999999999
mem,motor,0.7849999999999999
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,0.7000000000000001
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.725
motor,mem,1.0
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.6055555555555556
motor,mem,0.5
mem,mixed,0.9549999999999998
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.8600000000000001
mixed,mem,0.8600000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,0.8819444444444444
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.93
motor,mixed,0.5
motor,mem,0.5
